Atividade;Quantidade
Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;2
Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;2
Manutenção de redes de distribuição de energia elétrica;2
Manutenção e reparação de embarcações para esporte e lazer;2
Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores;2
Obras portuárias, marítimas e fluviais;2
Outras obras de instalações em construções não especificadas anteriormente;2
Outros serviços de transporte aéreo de passageiros não regular;2
Parques de diversão e parques temáticos;2
Perfurações e sondagens;2
Peritos e avaliadores de seguros;2
Pesca de peixes em água doce;2
Pesquisas de mercado e de opinião pública;2
Preparação de canteiro e limpeza de terreno;2
Produção de laminados de alumínio;2
Serviço de laboratório óptico;2
Serviço de tosquiamento de ovinos;2
Serviços de capotaria;2
Serviços de mixagem sonora em produção audiovisual;2
Serviços de telefonia fixa comutada - STFC;2
Administração de caixas escolares;1
Administração de cartões de crédito;1
Atividades associativas não especificadas anteriormente;1
Atividades de agenciamento marítimo;1
Atividades de apoio à pecuária não especificadas anteriormente;1
Atividades de despachantes aduaneiros;1
Atividades de investigação particular;1
Atividades de rádio;1
Atividades de sauna e banhos;1
Atividades de televisão aberta;1
Clínicas e residências geriátricas;1
Clubes sociais, esportivos e similares;1
"Comércio atacadista de bombas e compressores; partes e peças";1
Comércio atacadista de calçados;1
Comércio atacadista de cereais e leguminosas beneficiados;1
Comércio atacadista de cigarros, cigarrilhas e charutos;1
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;1
Comércio atacadista de equipamentos de informática;1
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;1
Comércio atacadista de fumo beneficiado;1
Comércio atacadista de leite e laticínios;1
Comércio atacadista de madeira e produtos derivados;1
"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";1
"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";1
Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada;1
Comércio atacadista de móveis e artigos de colchoaria;1
Comércio atacadista de papel e papelão em bruto;1
Comércio atacadista de pescados e frutos do mar;1
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;1
Comércio atacadista de produtos odontológicos;1
Comércio atacadista de resinas e elastômeros;1
Comércio atacadista de sementes, flores, plantas e gramas;1
Comércio atacadista de sorvetes;1
Comércio atacadista de tecidos;1
Comércio atacadista de vidros, espelhos e vitrais;1
Comércio varejista de armas e munições;1
Comércio varejista de fogos de artifício e artigos pirotécnicos;1
Comércio varejista de produtos farmacêuticos homeopáticos;1
Construção de instalações esportivas e recreativas;1
Corretoras de contratos de mercadorias;1
Criação de aves, exceto galináceos;1
Criação de equinos;1
Criação de estandes para feiras e exposições;1
Criação de outros animais não especificados anteriormente;1
Cultivo de flores e plantas ornamentais;1
Cultivo de uva;1
Edição integrada à impressão de revistas;1
Exploração de jogos de sinuca, bilhar e similares;1
Extração de areia, cascalho ou pedregulho e beneficiamento associado;1
Extração de argila e beneficiamento associado;1
Extração de outros minerais não metálicos não especificados anteriormente;1
Extração de quartzo;1
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado;1
Fabricação de aguardente de cana-de-açúcar;1
Fabricação de alimentos dietéticos e complementos alimentares;1
Fabricação de alimentos para animais;1
Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;1
Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda;1
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;1
Fabricação de artigos de cutelaria;1
Fabricação de bicicletas e triciclos não motorizados, peças e acessórios;1
Fabricação de calçados de couro;1
Fabricação de calçados de materiais não especificados anteriormente;1
Fabricação de chapas e de embalagens de papelão ondulado;1
Fabricação de colchões;1
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1
Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;1
Fabricação de equipamentos e acessórios para segurança pessoal e profissional;1
Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas;1
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;1
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;1
Fabricação de farinha de milho e derivados, exceto óleos de milho;1
Fabricação de frutas cristalizadas, balas e semelhantes;1
Fabricação de gelo comum;1
Fabricação de jogos eletrônicos;1
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;1
Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios;1
Fabricação de máquinas-ferramenta, peças e acessórios;1
Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais;1
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;1
Fabricação de meias;1
Fabricação de motores elétricos, peças e acessórios;1
Fabricação de óleos vegetais refinados, exceto óleo de milho;1
Fabricação de outras aguardentes e bebidas destiladas;1
Fabricação de outros produtos químicos não especificados anteriormente;1
Fabricação de papel;1
Fabricação de partes para calçados, de qualquer material;1
Fabricação de peças e acessórios para o sistema de freios de veículos automotores;1
Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;1
Fabricação de periféricos para equipamentos de informática;1
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;1
Fabricação de produtos para infusão (chá, mate, etc.);1
Fabricação de tecidos especiais, inclusive artefatos;1
Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios;1
Fabricação de vinho;1
Facção de roupas íntimas;1
Frigorífico - abate de bovinos;1
Fundição de ferro e aço;1
Geração de energia elétrica;1
Gestão de redes de esgoto;1
Gestão e manutenção de cemitérios;1
Holdings de instituições financeiras;1
Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre;1
Lapidação de gemas;1
Manutenção de estações e redes de telecomunicações;1
Manutenção e reparação de equipamentos de transmissão para fins industriais;1
Manutenção e reparação de equipamentos e instrumentos ópticos;1
Medição de consumo de energia elétrica, gás e água;1
Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente;1
Obras de irrigação;1
Operador de transporte multimodal - OTM;1
Organização de excursões em veículos rodoviários próprios, municipal;1
Outras atividades de atenção à saúde humana não especificadas anteriormente;1
Outras atividades de serviços financeiros não especificadas anteriormente;1
Outros transportes aquaviários não especificados anteriormente;1
Outros transportes rodoviários de passageiros não especificados anteriormente;1
Pintura para sinalização em pistas rodoviárias e aeroportos;1
Planos de saúde;1
Produção de espetáculos circenses, de marionetes e similares;1
Produção de espetáculos de rodeios, vaquejadas e similares;1
Produção de mudas e outras formas de propagação vegetal, certificadas;1
Provedores de voz sobre protocolo Internet - VOIP;1
Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;1
Representantes comerciais e agentes do comércio de veículos automotores;1
Reprodução de software em qualquer suporte;1
Reprodução de vídeo em qualquer suporte;1
Restauração e conservação de lugares e prédios históricos;1
Serviço de manejo de animais;1
Serviço de pulverização e controle de pragas agrícolas;1
Serviços de assistência social sem alojamento;1
Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos;1
Serviços de telecomunicações sem fio não especificados anteriormente;1
Serviços de tomografia;1
Serviços de vacinação e imunização humana;1
Tecelagem de fios de algodão;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;1
Tratamento e disposição de resíduos não perigosos;1
UTI móvel;1
